Номер теста;Задержка включения (us);СРЕДНЯЯ задержка включения (us);Задержка спада (us);СРЕДНЯЯ задержка спада (us);Длительность ответа (us);СРЕДНЯЯ длительность ответа (us)
4292;1722;1020;3715;1434;251995;250416
4293;11;1019;3706;1434;253698;250417
4294;1801;1020;9;1434;248209;250416
4295;16;1019;13;1434;250001;250416
4296;11;1019;14;1433;250006;250416
4297;1677;1019;18;1433;248344;250416
4298;15;1019;3656;1434;253644;250416
4299;699;1019;3652;1434;252955;250417
4300;15;1019;3644;1435;253632;250418
4301;11;1018;9;1434;250001;250418
4302;7;1018;3639;1435;253636;250418
4303;11;1018;3619;1435;253611;250419
4304;11;1018;5;1435;249997;250419
4305;1611;1018;13;1435;248403;250419
4306;1607;1018;3589;1435;251983;250419
4307;15;1018;3573;1436;253561;250420
4308;1578;1018;3585;1436;252008;250420
4309;1570;1018;13;1436;248444;250420
4310;7;1018;13;1436;250010;250419
